sample_id	study	sample_acc	instrument	library_name	source	selection	strategy	layout	fq1	fq1_md5	fq2	fq2_md5
ERS30371088	PRJEB114114	ERS30371088	Illumina HiSeq 2500	D4W1	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D4W1_EKRN250021315-1A_22VH2WLT4_L6_1.fq.gz	e5af4d3f8377e9c6e36c4c38f57c667f	D4W1_EKRN250021315-1A_22VH2WLT4_L6_2.fq.gz	e754ae64382f11c937afd75f937954f9
ERS30371089	PRJEB114114	ERS30371089	Illumina HiSeq 2500	D4W3	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D4W3_EKRN250021316-1A_22VH2WLT4_L6_1.fq.gz	1de6f58aed243ae2c8ca7f20a735e8d2	D4W3_EKRN250021316-1A_22VH2WLT4_L6_2.fq.gz	875a1d27920cc8e26d0b1c04fee1d5df
ERS30371090	PRJEB114114	ERS30371090	Illumina HiSeq 2500	D4W4	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D4W4_EKRN250021317-1A_22VH2WLT4_L6_1.fq.gz	8c1d1297b5e0263976778a47ea1fe78d	D4W4_EKRN250021317-1A_22VH2WLT4_L6_2.fq.gz	f8096d7943ea1a673f52bf257598760e
ERS30371091	PRJEB114114	ERS30371091	Illumina HiSeq 2500	D4EF1	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D4EF1_EKRN250021318-1A_22VH2WLT4_L6_1.fq.gz	c1aff857b135c3942e8e166181d1fec0	D4EF1_EKRN250021318-1A_22VH2WLT4_L6_2.fq.gz	87a0f0ef259c3174e45011443d83a18b
ERS30371092	PRJEB114114	ERS30371092	Illumina HiSeq 2500	D4EF2	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D4EF2_EKRN250021319-1A_22VH2WLT4_L6_1.fq.gz	e54743b1e0a6763c670f1bd2feea424f	D4EF2_EKRN250021319-1A_22VH2WLT4_L6_2.fq.gz	2e63301df1021849baf3e6756619069f
ERS30371093	PRJEB114114	ERS30371093	Illumina HiSeq 2500	D4EF4	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D4EF4_EKRN250021320-1A_22VH2WLT4_L6_1.fq.gz	ba22aeaf96b0f22e87ddffd07caef941	D4EF4_EKRN250021320-1A_22VH2WLT4_L6_2.fq.gz	6affe557fbcfd6464f53d7e349774682
ERS30371094	PRJEB114114	ERS30371094	Illumina HiSeq 2500	D9W1	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D9W1_EKRN250021321-1A_22VH2WLT4_L6_1.fq.gz	731cedcab3ecea38c477f6b8fbb7ee2c	D9W1_EKRN250021321-1A_22VH2WLT4_L6_2.fq.gz	4755b9d7d3c999abd18fc38e8b52e90b
ERS30371095	PRJEB114114	ERS30371095	Illumina HiSeq 2500	D9W2	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D9W2_EKRN250021322-1A_22VH2WLT4_L6_1.fq.gz	247c63782958208d63d93b58f6d040ed	D9W2_EKRN250021322-1A_22VH2WLT4_L6_2.fq.gz	042ba95a7735dad192b68917872dbcca
ERS30371096	PRJEB114114	ERS30371096	Illumina HiSeq 2500	D9W4	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D9W4_EKRN250021323-1A_22VH2WLT4_L6_1.fq.gz	e6a9c5f8e7a6f0969d88bb762cc91553	D9W4_EKRN250021323-1A_22VH2WLT4_L6_2.fq.gz	cf623c7fdd95603f733afce2bb9d79ab
ERS30371097	PRJEB114114	ERS30371097	Illumina HiSeq 2500	D9EF1	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D9EF1_EKRN250021324-1A_22VH2WLT4_L6_1.fq.gz	56878381a97069d36128d2c2de87e6c5	D9EF1_EKRN250021324-1A_22VH2WLT4_L6_2.fq.gz	5085eb08c08007e37432d16472a8f846
ERS30371098	PRJEB114114	ERS30371098	Illumina HiSeq 2500	D9EF3	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D9EF3_EKRN250021325-1A_22VH2WLT4_L6_1.fq.gz	323b535ad221315a99900cbb93485c83	D9EF3_EKRN250021325-1A_22VH2WLT4_L6_2.fq.gz	577fb898292bf22a29be72a1df626732
ERS30371099	PRJEB114114	ERS30371099	Illumina HiSeq 2500	D9EF4	TRANSCRIPTOMIC	RANDOM PCR	RNA-Seq	PAIRED	D9EF4_EKRN250021326-1A_22VH2WLT4_L6_1.fq.gz	94b3718948e0a3e782a24f8eae0e407a	D9EF4_EKRN250021326-1A_22VH2WLT4_L6_2.fq.gz	3d95e958c1228d24e595ce9d9e7954f9
